Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/30/20,2/1/20,9/26/20,United States,Male,85 years and over,23839,241503,25936,10553,566,39703,
9/30/20,2/1/20,9/26/20,United States,Female,All Ages,89191,998082,89493,38245,3249,143302,
9/30/20,2/1/20,9/26/20,United States,Female,Under 1 year,7,5212,40,1,8,54,
9/30/20,2/1/20,9/26/20,United States,Female,0-17 years,39,8534,144,6,59,236,
9/30/20,2/1/20,9/26/20,United States,Female,1-4 years,8,928,38,1,17,62,
9/30/20,2/1/20,9/26/20,United States,Female,5-14 years,10,1414,52,1,29,90,
9/30/20,2/1/20,9/26/20,United States,Female,15-24 years,139,5789,172,49,26,287,
9/30/20,2/1/20,9/26/20,United States,Female,18-29 years,303,10564,408,138,47,617,
9/30/20,2/1/20,9/26/20,United States,Female,25-34 years,510,13512,631,238,75,973,
9/30/20,2/1/20,9/26/20,United States,Female,30-49 years,2842,47466,3056,1263,263,4875,
9/30/20,2/1/20,9/26/20,United States,Female,35-44 years,1258,22136,1365,552,117,2181,
9/30/20,2/1/20,9/26/20,United States,Female,45-54 years,3325,44368,3652,1547,235,5632,
9/30/20,2/1/20,9/26/20,United States,Female,50-64 years,10778,131696,12508,5282,672,18586,
9/30/20,2/1/20,9/26/20,United States,Female,55-64 years,8705,104901,10166,4300,534,15035,
9/30/20,2/1/20,9/26/20,United States,Female,65-74 years,16143,173389,17555,7737,644,26519,
9/30/20,2/1/20,9/26/20,United States,Female,75-84 years,23125,242282,23782,10423,743,37137,
9/30/20,2/1/20,9/26/20,United States,Female,85 years and over,35961,384151,32040,13396,821,55332,
9/30/20,2/1/20,9/26/20,United States,Unknown,All Ages,4,82,7,4,1,8,
9/30/20,2/1/20,9/26/20,United States,Unknown,Under 1 year,0,20,0,0,0,0,
9/30/20,2/1/20,9/26/20,United States,Unknown,0-17 years,0,21,0,0,0,0,
9/30/20,2/1/20,9/26/20,United States,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,United States,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,United States,Unknown,15-24 years,0,1,0,0,0,0,
9/30/20,2/1/20,9/26/20,United States,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,United States,Unknown,25-34 years,0,2,0,0,0,0,
9/30/20,2/1/20,9/26/20,United States,Unknown,30-49 years,0,8,0,0,0,0,
9/30/20,2/1/20,9/26/20,United States,Unknown,35-44 years,0,5,0,0,0,0,
9/30/20,2/1/20,9/26/20,United States,Unknown,45-54 years,1,3,1,1,0,1,
9/30/20,2/1/20,9/26/20,United States,Unknown,50-64 years,1,10,2,1,1,3,
9/30/20,2/1/20,9/26/20,United States,Unknown,55-64 years,0,8,1,0,1,2,
9/30/20,2/1/20,9/26/20,United States,Unknown,65-74 years,1,9,1,1,0,1,
9/30/20,2/1/20,9/26/20,United States,Unknown,75-84 years,1,14,2,1,0,2,
9/30/20,2/1/20,9/26/20,United States,Unknown,85 years and over,1,20,2,1,0,2,
9/30/20,2/1/20,9/26/20,Alabama,All Sexes,All Ages,3272,38624,2998,1070,100,5295,
9/30/20,2/1/20,9/26/20,Alabama,Male,All Ages,1658,19994,1589,556,60,2748,
9/30/20,2/1/20,9/26/20,Alabama,Male,Under 1 year,,120,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Male,0-17 years,,240,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Male,1-4 years,0,25,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Male,5-14 years,0,40,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Male,15-24 years,,322,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Male,18-29 years,10,526,,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Male,25-34 years,17,590,17,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Male,30-49 years,96,1776,87,32,,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Male,35-44 years,43,867,50,18,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Male,45-54 years,114,1493,79,30,,169,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Male,50-64 years,318,4340,299,100,21,538,
9/30/20,2/1/20,9/26/20,Alabama,Male,55-64 years,247,3425,245,79,16,429,
9/30/20,2/1/20,9/26/20,Alabama,Male,65-74 years,453,4772,444,153,17,760,
9/30/20,2/1/20,9/26/20,Alabama,Male,75-84 years,465,4897,452,163,,761,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Male,85 years and over,315,3443,299,106,,514,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Female,All Ages,1614,18630,1409,514,40,2547,
9/30/20,2/1/20,9/26/20,Alabama,Female,Under 1 year,0,93,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Female,0-17 years,0,151,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Female,1-4 years,0,21,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Female,5-14 years,0,23,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Female,15-24 years,,118,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Female,18-29 years,,188,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Female,25-34 years,,257,16,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Female,30-49 years,69,1039,58,18,,114,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Female,35-44 years,30,471,25,,,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Female,45-54 years,86,1010,63,21,,133,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Female,50-64 years,255,2918,273,76,13,464,
9/30/20,2/1/20,9/26/20,Alabama,Female,55-64 years,200,2303,230,60,,378,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Female,65-74 years,347,3575,291,118,12,532,
9/30/20,2/1/20,9/26/20,Alabama,Female,75-84 years,422,4897,396,148,,676,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Female,85 years and over,519,5862,382,153,,750,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alabama,Unknown,All Ages,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,Under 1 year,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,0-17 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,30-49 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,35-44 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,45-54 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,50-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,55-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,65-74 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,75-84 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alabama,Unknown,85 years and over,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,All Sexes,All Ages,42,2763,126,24,,150,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Male,All Ages,27,1615,69,13,,86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Male,Under 1 year,0,12,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Male,0-17 years,0,32,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Male,5-14 years,0,11,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Male,15-24 years,0,56,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Male,18-29 years,0,85,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Male,25-34 years,0,73,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Male,30-49 years,,182,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Male,35-44 years,0,96,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Male,45-54 years,,123,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Male,50-64 years,,367,14,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Male,55-64 years,,292,13,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Male,65-74 years,,373,16,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Male,75-84 years,10,366,17,,,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Male,85 years and over,,210,14,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,All Ages,15,1148,57,11,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,Under 1 year,0,10,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Female,0-17 years,0,22,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,15-24 years,0,24,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,18-29 years,0,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,25-34 years,,42,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,30-49 years,,112,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,35-44 years,0,55,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,45-54 years,,78,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,50-64 years,,207,13,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,55-64 years,,163,10,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,65-74 years,,243,12,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,75-84 years,,237,13,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Female,85 years and over,,290,12,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Alaska,Unknown,All Ages,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,Under 1 year,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,0-17 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,30-49 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,35-44 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,45-54 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,50-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,55-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,65-74 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,75-84 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Alaska,Unknown,85 years and over,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,All Sexes,All Ages,4992,49323,5278,2847,115,7538,
9/30/20,2/1/20,9/26/20,Arizona,Male,All Ages,2870,26960,3010,1665,61,4276,
9/30/20,2/1/20,9/26/20,Arizona,Male,Under 1 year,0,142,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Male,0-17 years,,312,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Male,1-4 years,,40,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Male,5-14 years,,45,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Male,15-24 years,14,561,12,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Male,18-29 years,35,952,32,21,,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Male,25-34 years,56,994,45,31,,71,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Male,30-49 years,238,2511,180,125,,296,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Male,35-44 years,110,1200,83,59,,136,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Male,45-54 years,245,1878,197,136,,310,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Male,50-64 years,649,4993,616,383,17,899,
9/30/20,2/1/20,9/26/20,Arizona,Male,55-64 years,498,3908,493,297,13,707,
9/30/20,2/1/20,9/26/20,Arizona,Male,65-74 years,673,5868,757,421,14,1023,
9/30/20,2/1/20,9/26/20,Arizona,Male,75-84 years,744,6738,850,445,12,1161,
9/30/20,2/1/20,9/26/20,Arizona,Male,85 years and over,526,5586,568,267,10,837,
9/30/20,2/1/20,9/26/20,Arizona,Female,All Ages,2122,22363,2268,1182,54,3262,
9/30/20,2/1/20,9/26/20,Arizona,Female,Under 1 year,0,113,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Female,0-17 years,0,219,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Female,1-4 years,0,34,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Female,5-14 years,0,37,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Female,15-24 years,,178,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Female,18-29 years,16,324,16,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Female,25-34 years,30,429,30,16,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Female,30-49 years,135,1197,119,80,,181,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Female,35-44 years,58,547,41,28,,74,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Female,45-54 years,112,1006,118,69,,167,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Female,50-64 years,347,3022,367,200,13,527,
9/30/20,2/1/20,9/26/20,Arizona,Female,55-64 years,292,2418,305,170,10,437,
9/30/20,2/1/20,9/26/20,Arizona,Female,65-74 years,459,4151,517,280,16,712,
9/30/20,2/1/20,9/26/20,Arizona,Female,75-84 years,558,5739,630,328,10,870,
9/30/20,2/1/20,9/26/20,Arizona,Female,85 years and over,607,7711,615,286,,944,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arizona,Unknown,All Ages,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,Under 1 year,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,0-17 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,1-4 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,5-14 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,15-24 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,18-29 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,25-34 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,30-49 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,35-44 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,45-54 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,50-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,55-64 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,65-74 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,75-84 years,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arizona,Unknown,85 years and over,0,0,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arkansas,All Sexes,All Ages,1173,22774,1832,518,77,2563,
9/30/20,2/1/20,9/26/20,Arkansas,Male,All Ages,630,11976,997,301,41,1367,
9/30/20,2/1/20,9/26/20,Arkansas,Male,Under 1 year,0,87,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arkansas,Male,0-17 years,0,178,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arkansas,Male,1-4 years,0,22,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arkansas,Male,5-14 years,0,28,0,0,0,0,
9/30/20,2/1/20,9/26/20,Arkansas,Male,15-24 years,,191,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arkansas,Male,18-29 years,,284,,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arkansas,Male,25-34 years,,319,11,0,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arkansas,Male,30-49 years,34,1037,51,12,,78,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arkansas,Male,35-44 years,10,481,28,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arkansas,Male,45-54 years,45,831,57,23,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arkansas,Male,50-64 years,126,2485,208,69,14,279,
9/30/20,2/1/20,9/26/20,Arkansas,Male,55-64 years,100,2025,168,54,12,226,
9/30/20,2/1/20,9/26/20,Arkansas,Male,65-74 years,142,2938,222,64,11,311,
9/30/20,2/1/20,9/26/20,Arkansas,Male,75-84 years,185,2950,297,94,,395,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arkansas,Male,85 years and over,139,2104,210,62,,289,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arkansas,Female,All Ages,543,10798,835,217,36,1196,
9/30/20,2/1/20,9/26/20,Arkansas,Female,Under 1 year,0,59,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
9/30/20,2/1/20,9/26/20,Arkansas,Female,0-17 years,0,98,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
